Day,Focus Area,Module / Folder,Learning Links (to fill),Hands-on Tasks (what was done),Git Branch / PR Link,Status (Not Started / In Progress / Done),Mentor Comments,Mentor Score (1-5)
0,Git Basics,09_git,https://www.youtube.com/watch?v=apGV9Kg7ics,create branch,rahul_learning,Done,,
1,DE Foundations,00_foundations,"chatgpt, google","created notes on each topic listed in the readme. Also studied Data Modeling, Data Vault",feature/Day01,Done,,
2,SQL Basics,01_sql,https://leetcode.com/,"practiced on few easy, medium & hard questions (Also did work on PagerDuty) ",feature/Day02,Done,,
3,Advanced SQL,01_sql,https://leetcode.com/,"practiced on few easy, medium & hard questions (Also did work on PagerDuty) ",feature/Day02,In Progress,,
4,PL/SQL,02_plsql,https://www.youtube.com/watch?v=IWsY_HzufKw&list=PLL_LQvNX4xKyiExzq9GKwORoH6nvaRnOQ&index=9,Practicing on PL/SQL online compiler,feature/Day03,In Progress,,
5,Python ETL,03_python,,,,,,
6,Python API,04_python_api,,,,,,
7,Spark Basics,05_pyspark,,,,,,
8,Spark Medallion,05_pyspark,,,,,,
9,Spark Medallion,05_pyspark,,,,,,
10,Data Modeling,06_data_modeling,,,,,,
11,Snowflake,07_snowflake,,,,,,
12,AWS Basics,08_cloud,,,,,,
13,Azure Basics,08_cloud,,,,,,
14,Final Project,final_project,,,,,,
